L1A1-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
2,1,0,1,0,1,------0,0,0.0,------1,
5,2,0,1,0,1,------0,0,0.0,------1,
8,3,0,1,0,1,------0,0,0.0,------1,
11,4,0,1,0,1,------0,0,0.0,------1,
14,5,0,1,0,1,------0,0,0.0,------1,
17,6,0,1,0,1,------0,0,0.0,------1,
20,7,0,1,0,1,------0,0,0.0,------1,
23,8,0,1,0,1,------0,0,0.0,------1,
26,9,0,1,0,1,------0,0,0.0,------1,
29,10,1,1,32,2,------32,32,1.0,------2,
32,11,1,1,0,2,------32,32,1.0,------2,
35,12,1,1,0,2,------32,32,1.0,------2,
38,13,1,0,0,2,------32,32,1.0,------2,
41,14,1,0,0,2,------32,32,1.0,------2,
44,15,0,0,20,3,------12,12,1.0,------3,
47,16,0,0,0,3,------12,12,1.0,------3,
50,17,0,0,0,3,------12,12,1.0,------3,
53,18,0,0,0,3,------12,12,1.0,------3,
56,19,0,1,0,3,------12,12,1.0,------3,
59,20,1,1,20,3,------32,32,1.0,------2,
62,21,1,1,0,3,------32,32,1.0,------2,
65,22,1,1,0,3,------32,32,1.0,------2,
68,23,1,1,0,3,------32,32,1.0,------2,
71,24,1,1,0,3,------32,32,1.0,------2,
74,25,0,0,20,3,------12,12,1.0,------3,
77,26,0,0,0,3,------12,12,1.0,------3,
80,27,0,0,0,3,------12,12,1.0,------3,
83,28,0,0,0,3,------12,12,1.0,------3,
86,29,0,0,0,3,------12,12,1.0,------3,
89,30,0,0,0,3,------12,12,1.0,------3,
92,31,0,1,0,3,------12,12,1.0,------3,
95,32,0,1,0,3,------12,12,1.0,------3,
98,33,0,1,0,3,------12,12,1.0,------3,
101,34,0,1,0,3,------12,12,1.0,------3,
104,35,0,1,16,4,------28,32,0.88,------4,
107,36,0,1,0,4,------28,32,0.88,------4,
110,37,0,1,0,4,------28,32,0.88,------4,
113,38,0,1,0,4,------28,32,0.88,------4,
116,39,0,1,0,4,------28,32,0.88,------4,
119,40,1,1,4,4,------32,32,1.0,------2,
122,41,1,1,0,4,------32,32,1.0,------2,
125,42,1,1,0,4,------32,32,1.0,------2,
128,43,1,0,0,4,------32,32,1.0,------2,
131,44,1,0,0,4,------32,32,1.0,------2,
134,45,0,0,20,4,------12,12,1.0,------3,
137,46,0,0,0,4,------12,12,1.0,------3,
140,47,0,0,0,4,------12,12,1.0,------3,
143,48,0,0,0,4,------12,12,1.0,------3,
146,49,0,1,0,4,------12,12,1.0,------3,
149,50,0,1,16,4,------28,32,0.88,------4,
152,51,0,1,0,4,------28,32,0.88,------4,
155,52,0,1,0,4,------28,32,0.88,------4,
158,53,0,1,0,4,------28,32,0.88,------4,
161,54,0,1,0,4,------28,32,0.88,------4,
164,55,1,1,4,4,------32,32,1.0,------2,
167,56,1,1,0,4,------32,32,1.0,------2,
170,57,1,1,0,4,------32,32,1.0,------2,
173,58,1,1,0,4,------32,32,1.0,------2,
176,59,1,1,0,4,------32,32,1.0,------2,
179,60,1,1,0,4,------32,32,1.0,------2,
182,61,1,0,0,4,------32,32,1.0,------2,
185,62,1,0,0,4,------32,32,1.0,------2,
188,63,1,0,0,4,------32,32,1.0,------2,
191,64,1,0,0,4,------32,32,1.0,------2,
194,65,0,0,20,4,------12,12,1.0,------3,
197,66,0,0,0,4,------12,12,1.0,------3,
200,67,0,1,0,4,------12,12,1.0,------3,
203,68,0,1,0,4,------12,12,1.0,------3,
206,69,0,1,0,4,------12,12,1.0,------3,
209,70,0,1,16,4,------28,32,0.88,------4,
212,71,0,1,0,4,------28,32,0.88,------4,
215,72,0,1,0,4,------28,32,0.88,------4,
218,73,0,1,0,4,------28,32,0.88,------4,
221,74,0,1,0,4,------28,32,0.88,------4,
224,75,1,1,4,4,------32,32,1.0,------2,
227,76,1,1,0,4,------32,32,1.0,------2,
230,77,1,1,0,4,------32,32,1.0,------2,
233,78,1,1,0,4,------32,32,1.0,------2,
236,79,1,0,0,4,------32,32,1.0,------2,
239,80,0,0,20,4,------12,12,1.0,------3,
242,81,0,0,0,4,------12,12,1.0,------3,
245,82,0,0,0,4,------12,12,1.0,------3,
248,83,0,0,0,4,------12,12,1.0,------3,
251,84,0,0,0,4,------12,12,1.0,------3,
254,85,1,1,20,4,------32,32,1.0,------2,
257,86,1,1,0,4,------32,32,1.0,------2,
260,87,1,1,0,4,------32,32,1.0,------2,
263,88,1,1,0,4,------32,32,1.0,------2,
266,89,1,1,0,4,------32,32,1.0,------2,
269,90,1,1,0,4,------32,32,1.0,------2,
272,91,1,0,0,4,------32,32,1.0,------2,
275,92,1,0,0,4,------32,32,1.0,------2,
278,93,1,0,0,4,------32,32,1.0,------2,
281,94,1,0,0,4,------32,32,1.0,------2,
284,95,0,0,20,4,------12,12,1.0,------3,
287,96,0,0,0,4,------12,12,1.0,------3,
290,97,0,1,0,4,------12,12,1.0,------3,
293,98,0,1,0,4,------12,12,1.0,------3,
296,99,0,1,0,4,------12,12,1.0,------3,
299,100,1,1,20,4,------32,32,1.0,------2,
302,101,1,1,0,4,------32,32,1.0,------2,
305,102,1,1,0,4,------32,32,1.0,------2,
308,103,1,0,0,4,------32,32,1.0,------2,
311,104,1,0,0,4,------32,32,1.0,------2,
314,105,0,0,20,4,------12,12,1.0,------3,
317,106,0,0,0,4,------12,12,1.0,------3,
320,107,0,0,0,4,------12,12,1.0,------3,
323,108,0,0,0,4,------12,12,1.0,------3,
326,109,0,1,0,4,------12,12,1.0,------3,
329,110,1,1,20,4,------32,32,1.0,------2,
332,111,1,1,0,4,------32,32,1.0,------2,
335,112,1,1,0,4,------32,32,1.0,------2,
338,113,1,1,0,4,------32,32,1.0,------2,
341,114,1,1,0,4,------32,32,1.0,------2,
344,115,0,0,20,4,------12,12,1.0,------3,
347,116,0,0,0,4,------12,12,1.0,------3,
350,117,0,0,0,4,------12,12,1.0,------3,
353,118,0,0,0,4,------12,12,1.0,------3,
356,119,0,0,0,4,------12,12,1.0,------3,
359,120,0,0,0,4,------12,12,1.0,------3,
362,121,0,1,0,4,------12,12,1.0,------3,
365,122,0,1,0,4,------12,12,1.0,------3,
368,123,0,1,0,4,------12,12,1.0,------3,
371,124,0,1,0,4,------12,12,1.0,------3,
374,125,1,1,20,4,------32,32,1.0,------2,
377,126,1,1,0,4,------32,32,1.0,------2,
380,127,1,0,0,4,------32,32,1.0,------2,
383,128,1,0,0,4,------32,32,1.0,------2,
386,129,1,0,0,4,------32,32,1.0,------2,
389,130,0,0,20,4,------12,12,1.0,------3,
392,131,0,0,0,4,------12,12,1.0,------3,
395,132,0,0,0,4,------12,12,1.0,------3,
398,133,0,1,0,4,------12,12,1.0,------3,
401,134,0,1,0,4,------12,12,1.0,------3,
404,135,1,1,20,4,------32,32,1.0,------2,
407,136,1,1,0,4,------32,32,1.0,------2,
410,137,1,1,0,4,------32,32,1.0,------2,
413,138,1,1,0,4,------32,32,1.0,------2,
416,139,1,0,0,4,------32,32,1.0,------2,
419,140,0,0,20,4,------12,12,1.0,------3,
