L0A32-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
1,1,0,1,0,1,------5,9,0.56,------1,
4,2,0,1,4,2,------9,25,0.36,------2,
7,3,0,1,12,3,------21,49,0.43,------3,
10,4,0,1,8,4,------29,81,0.36,------4,
13,5,0,1,12,5,------41,121,0.34,------5,
16,6,1,1,12,6,------53,169,0.31,------6,
19,7,1,1,36,7,------89,225,0.4,------7,
22,8,1,1,28,8,------117,289,0.4,------8,
25,9,1,1,12,9,------129,361,0.36,------9,
28,10,1,1,12,10,------141,441,0.32,------10,
31,11,1,0,52,11,------89,289,0.31,------11,
34,12,1,0,28,12,------61,121,0.5,------12,
37,13,0,0,20,13,------41,81,0.51,------13,
40,14,0,0,16,14,------25,49,0.51,------14,
43,15,0,1,4,14,------29,81,0.36,------4,
46,16,0,1,12,14,------41,121,0.34,------5,
49,17,1,1,12,14,------53,169,0.31,------6,
52,18,1,1,36,14,------89,225,0.4,------7,
55,19,0,0,60,15,------29,169,0.17,------15,
58,20,0,0,24,15,------5,9,0.56,------1,
61,21,0,0,4,16,------1,1,1.0,------16,
64,22,0,0,1,17,------0,0,0.0,------17,
67,23,0,1,0,17,------0,0,0.0,------17,
70,24,0,1,0,17,------0,0,0.0,------17,
73,25,0,1,0,17,------0,0,0.0,------17,
76,26,0,1,0,17,------0,0,0.0,------17,
79,27,0,0,0,17,------0,0,0.0,------17,
82,28,0,0,0,17,------0,0,0.0,------17,
85,29,0,0,0,17,------0,0,0.0,------17,
88,30,0,0,0,17,------0,0,0.0,------17,
91,31,0,1,0,17,------0,0,0.0,------17,
94,32,0,1,0,17,------0,0,0.0,------17,
97,33,0,1,0,17,------0,0,0.0,------17,
100,34,0,1,0,17,------0,0,0.0,------17,
103,35,0,0,0,17,------0,0,0.0,------17,
106,36,0,0,0,17,------0,0,0.0,------17,
109,37,0,0,0,17,------0,0,0.0,------17,
112,38,0,0,0,17,------0,0,0.0,------17,
115,39,0,1,0,17,------0,0,0.0,------17,
118,40,0,1,0,17,------0,0,0.0,------17,
121,41,0,1,0,17,------0,0,0.0,------17,
124,42,0,1,0,17,------0,0,0.0,------17,
127,43,0,0,0,17,------0,0,0.0,------17,
130,44,0,0,0,17,------0,0,0.0,------17,
133,45,0,0,0,17,------0,0,0.0,------17,
136,46,0,0,0,17,------0,0,0.0,------17,
139,47,0,1,0,17,------0,0,0.0,------17,
142,48,0,1,0,17,------0,0,0.0,------17,
145,49,0,1,0,17,------0,0,0.0,------17,
148,50,0,1,0,17,------0,0,0.0,------17,
151,51,0,0,0,17,------0,0,0.0,------17,
154,52,0,0,0,17,------0,0,0.0,------17,
157,53,0,0,0,17,------0,0,0.0,------17,
160,54,0,0,0,17,------0,0,0.0,------17,
163,55,0,1,0,17,------0,0,0.0,------17,
166,56,0,1,0,17,------0,0,0.0,------17,
169,57,0,1,0,17,------0,0,0.0,------17,
172,58,0,1,0,17,------0,0,0.0,------17,
175,59,0,0,0,17,------0,0,0.0,------17,
178,60,0,0,0,17,------0,0,0.0,------17,
181,61,0,0,0,17,------0,0,0.0,------17,
184,62,0,0,0,17,------0,0,0.0,------17,
187,63,0,1,0,17,------0,0,0.0,------17,
190,64,0,1,0,17,------0,0,0.0,------17,
193,65,0,1,0,17,------0,0,0.0,------17,
196,66,0,1,0,17,------0,0,0.0,------17,
199,67,0,0,0,17,------0,0,0.0,------17,
202,68,0,0,0,17,------0,0,0.0,------17,
205,69,0,0,0,17,------0,0,0.0,------17,
208,70,0,0,0,17,------0,0,0.0,------17,
211,71,0,1,0,17,------0,0,0.0,------17,
214,72,0,1,0,17,------0,0,0.0,------17,
217,73,0,1,0,17,------0,0,0.0,------17,
220,74,0,1,0,17,------0,0,0.0,------17,
223,75,0,0,0,17,------0,0,0.0,------17,
226,76,0,0,0,17,------0,0,0.0,------17,
229,77,0,0,0,17,------0,0,0.0,------17,
232,78,0,0,0,17,------0,0,0.0,------17,
235,79,0,1,0,17,------0,0,0.0,------17,
238,80,0,1,0,17,------0,0,0.0,------17,
241,81,0,1,0,17,------0,0,0.0,------17,
244,82,0,1,0,17,------0,0,0.0,------17,
247,83,0,0,0,17,------0,0,0.0,------17,
250,84,0,0,0,17,------0,0,0.0,------17,
253,85,0,0,0,17,------0,0,0.0,------17,
256,86,0,0,0,17,------0,0,0.0,------17,
259,87,0,1,0,17,------0,0,0.0,------17,
262,88,0,1,0,17,------0,0,0.0,------17,
265,89,0,1,0,17,------0,0,0.0,------17,
268,90,0,1,0,17,------0,0,0.0,------17,
271,91,0,0,0,17,------0,0,0.0,------17,
274,92,0,0,0,17,------0,0,0.0,------17,
277,93,0,0,0,17,------0,0,0.0,------17,
280,94,0,0,0,17,------0,0,0.0,------17,
283,95,0,1,0,17,------0,0,0.0,------17,
286,96,0,1,0,17,------0,0,0.0,------17,
289,97,0,1,0,17,------0,0,0.0,------17,
292,98,0,1,0,17,------0,0,0.0,------17,
295,99,0,0,0,17,------0,0,0.0,------17,
298,100,0,0,0,17,------0,0,0.0,------17,
301,101,0,0,0,17,------0,0,0.0,------17,
304,102,0,0,0,17,------0,0,0.0,------17,
307,103,0,1,0,17,------0,0,0.0,------17,
310,104,0,1,0,17,------0,0,0.0,------17,
313,105,0,1,0,17,------0,0,0.0,------17,
316,106,0,1,0,17,------0,0,0.0,------17,
319,107,0,0,0,17,------0,0,0.0,------17,
322,108,0,0,0,17,------0,0,0.0,------17,
325,109,0,0,0,17,------0,0,0.0,------17,
328,110,0,0,0,17,------0,0,0.0,------17,
331,111,0,1,0,17,------0,0,0.0,------17,
334,112,0,1,0,17,------0,0,0.0,------17,
337,113,0,1,0,17,------0,0,0.0,------17,
340,114,0,1,0,17,------0,0,0.0,------17,
343,115,0,0,0,17,------0,0,0.0,------17,
346,116,0,0,0,17,------0,0,0.0,------17,
349,117,0,0,0,17,------0,0,0.0,------17,
352,118,0,0,0,17,------0,0,0.0,------17,
355,119,0,1,0,17,------0,0,0.0,------17,
358,120,0,1,0,17,------0,0,0.0,------17,
361,121,0,1,0,17,------0,0,0.0,------17,
364,122,0,1,0,17,------0,0,0.0,------17,
367,123,0,0,0,17,------0,0,0.0,------17,
370,124,0,0,0,17,------0,0,0.0,------17,
373,125,0,0,0,17,------0,0,0.0,------17,
376,126,0,0,0,17,------0,0,0.0,------17,
379,127,0,1,0,17,------0,0,0.0,------17,
382,128,0,1,0,17,------0,0,0.0,------17,
385,129,0,1,0,17,------0,0,0.0,------17,
388,130,0,1,0,17,------0,0,0.0,------17,
391,131,0,0,0,17,------0,0,0.0,------17,
394,132,0,0,0,17,------0,0,0.0,------17,
397,133,0,0,0,17,------0,0,0.0,------17,
400,134,0,0,0,17,------0,0,0.0,------17,
403,135,0,1,0,17,------0,0,0.0,------17,
406,136,0,1,0,17,------0,0,0.0,------17,
409,137,0,1,0,17,------0,0,0.0,------17,
412,138,0,1,0,17,------0,0,0.0,------17,
415,139,0,0,0,17,------0,0,0.0,------17,
418,140,0,0,0,17,------0,0,0.0,------17,
421,141,0,0,0,17,------0,0,0.0,------17,
424,142,0,0,0,17,------0,0,0.0,------17,
427,143,0,1,0,17,------0,0,0.0,------17,
430,144,0,1,0,17,------0,0,0.0,------17,
433,145,0,1,0,17,------0,0,0.0,------17,
436,146,0,1,0,17,------0,0,0.0,------17,
439,147,0,0,0,17,------0,0,0.0,------17,
