L0A33-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
1,1,0,1,0,1,------5,9,0.56,------1,
4,2,0,1,4,2,------9,25,0.36,------2,
7,3,0,1,12,3,------21,49,0.43,------3,
10,4,0,1,8,4,------29,81,0.36,------4,
13,5,0,1,12,5,------41,121,0.34,------5,
16,6,1,1,12,6,------53,169,0.31,------6,
19,7,1,1,36,7,------89,225,0.4,------7,
22,8,1,1,28,8,------117,289,0.4,------8,
25,9,1,0,32,9,------85,169,0.5,------9,
28,10,1,0,24,10,------61,121,0.5,------10,
31,11,0,0,20,11,------41,81,0.51,------11,
34,12,0,0,16,12,------25,49,0.51,------12,
37,13,0,0,12,13,------13,25,0.52,------13,
40,14,0,0,8,13,------5,9,0.56,------1,
43,15,0,0,4,14,------1,1,1.0,------14,
46,16,0,0,1,15,------0,0,0.0,------15,
49,17,0,0,0,15,------0,0,0.0,------15,
52,18,0,0,0,15,------0,0,0.0,------15,
55,19,0,0,0,15,------0,0,0.0,------15,
58,20,0,0,0,15,------0,0,0.0,------15,
61,21,0,1,0,15,------0,0,0.0,------15,
64,22,0,1,0,15,------0,0,0.0,------15,
67,23,0,1,0,15,------0,0,0.0,------15,
70,24,0,1,0,15,------0,0,0.0,------15,
73,25,0,1,0,15,------0,0,0.0,------15,
76,26,0,1,0,15,------0,0,0.0,------15,
79,27,0,0,0,15,------0,0,0.0,------15,
82,28,0,0,0,15,------0,0,0.0,------15,
85,29,0,0,0,15,------0,0,0.0,------15,
88,30,0,0,0,15,------0,0,0.0,------15,
91,31,0,0,0,15,------0,0,0.0,------15,
94,32,0,0,0,15,------0,0,0.0,------15,
97,33,0,1,0,15,------0,0,0.0,------15,
100,34,0,1,0,15,------0,0,0.0,------15,
103,35,0,1,0,15,------0,0,0.0,------15,
106,36,0,1,0,15,------0,0,0.0,------15,
109,37,0,1,0,15,------0,0,0.0,------15,
112,38,0,1,0,15,------0,0,0.0,------15,
115,39,0,0,0,15,------0,0,0.0,------15,
118,40,0,0,0,15,------0,0,0.0,------15,
121,41,0,0,0,15,------0,0,0.0,------15,
124,42,0,0,0,15,------0,0,0.0,------15,
127,43,0,0,0,15,------0,0,0.0,------15,
130,44,0,0,0,15,------0,0,0.0,------15,
133,45,0,0,0,15,------0,0,0.0,------15,
136,46,0,0,0,15,------0,0,0.0,------15,
139,47,0,0,0,15,------0,0,0.0,------15,
142,48,0,0,0,15,------0,0,0.0,------15,
145,49,0,0,0,15,------0,0,0.0,------15,
148,50,0,0,0,15,------0,0,0.0,------15,
151,51,0,1,0,15,------0,0,0.0,------15,
154,52,0,1,0,15,------0,0,0.0,------15,
157,53,0,1,0,15,------0,0,0.0,------15,
160,54,0,1,0,15,------0,0,0.0,------15,
163,55,0,1,0,15,------0,0,0.0,------15,
166,56,0,1,0,15,------0,0,0.0,------15,
169,57,0,0,0,15,------0,0,0.0,------15,
172,58,0,0,0,15,------0,0,0.0,------15,
175,59,0,0,0,15,------0,0,0.0,------15,
178,60,0,0,0,15,------0,0,0.0,------15,
181,61,0,0,0,15,------0,0,0.0,------15,
184,62,0,0,0,15,------0,0,0.0,------15,
187,63,0,1,0,15,------0,0,0.0,------15,
190,64,0,1,0,15,------0,0,0.0,------15,
193,65,0,1,0,15,------0,0,0.0,------15,
196,66,0,1,0,15,------0,0,0.0,------15,
199,67,0,1,0,15,------0,0,0.0,------15,
202,68,0,1,0,15,------0,0,0.0,------15,
205,69,0,0,0,15,------0,0,0.0,------15,
208,70,0,0,0,15,------0,0,0.0,------15,
211,71,0,0,0,15,------0,0,0.0,------15,
214,72,0,0,0,15,------0,0,0.0,------15,
217,73,0,0,0,15,------0,0,0.0,------15,
220,74,0,0,0,15,------0,0,0.0,------15,
223,75,0,0,0,15,------0,0,0.0,------15,
226,76,0,0,0,15,------0,0,0.0,------15,
229,77,0,0,0,15,------0,0,0.0,------15,
232,78,0,0,0,15,------0,0,0.0,------15,
235,79,0,0,0,15,------0,0,0.0,------15,
238,80,0,0,0,15,------0,0,0.0,------15,
241,81,0,1,0,15,------0,0,0.0,------15,
244,82,0,1,0,15,------0,0,0.0,------15,
247,83,0,1,0,15,------0,0,0.0,------15,
250,84,0,1,0,15,------0,0,0.0,------15,
253,85,0,1,0,15,------0,0,0.0,------15,
256,86,0,1,0,15,------0,0,0.0,------15,
259,87,0,0,0,15,------0,0,0.0,------15,
262,88,0,0,0,15,------0,0,0.0,------15,
265,89,0,0,0,15,------0,0,0.0,------15,
268,90,0,0,0,15,------0,0,0.0,------15,
271,91,0,0,0,15,------0,0,0.0,------15,
274,92,0,0,0,15,------0,0,0.0,------15,
277,93,0,1,0,15,------0,0,0.0,------15,
280,94,0,1,0,15,------0,0,0.0,------15,
283,95,0,1,0,15,------0,0,0.0,------15,
286,96,0,1,0,15,------0,0,0.0,------15,
289,97,0,1,0,15,------0,0,0.0,------15,
292,98,0,1,0,15,------0,0,0.0,------15,
295,99,0,0,0,15,------0,0,0.0,------15,
298,100,0,0,0,15,------0,0,0.0,------15,
301,101,0,0,0,15,------0,0,0.0,------15,
304,102,0,0,0,15,------0,0,0.0,------15,
307,103,0,0,0,15,------0,0,0.0,------15,
310,104,0,0,0,15,------0,0,0.0,------15,
313,105,0,0,0,15,------0,0,0.0,------15,
316,106,0,0,0,15,------0,0,0.0,------15,
319,107,0,0,0,15,------0,0,0.0,------15,
322,108,0,0,0,15,------0,0,0.0,------15,
325,109,0,0,0,15,------0,0,0.0,------15,
328,110,0,0,0,15,------0,0,0.0,------15,
331,111,0,1,0,15,------0,0,0.0,------15,
334,112,0,1,0,15,------0,0,0.0,------15,
337,113,0,1,0,15,------0,0,0.0,------15,
340,114,0,1,0,15,------0,0,0.0,------15,
343,115,0,1,0,15,------0,0,0.0,------15,
346,116,0,1,0,15,------0,0,0.0,------15,
349,117,0,0,0,15,------0,0,0.0,------15,
352,118,0,0,0,15,------0,0,0.0,------15,
355,119,0,0,0,15,------0,0,0.0,------15,
358,120,0,0,0,15,------0,0,0.0,------15,
361,121,0,0,0,15,------0,0,0.0,------15,
364,122,0,0,0,15,------0,0,0.0,------15,
367,123,0,1,0,15,------0,0,0.0,------15,
370,124,0,1,0,15,------0,0,0.0,------15,
373,125,0,1,0,15,------0,0,0.0,------15,
376,126,0,1,0,15,------0,0,0.0,------15,
379,127,0,1,0,15,------0,0,0.0,------15,
382,128,0,1,0,15,------0,0,0.0,------15,
385,129,0,0,0,15,------0,0,0.0,------15,
388,130,0,0,0,15,------0,0,0.0,------15,
391,131,0,0,0,15,------0,0,0.0,------15,
394,132,0,0,0,15,------0,0,0.0,------15,
397,133,0,0,0,15,------0,0,0.0,------15,
400,134,0,0,0,15,------0,0,0.0,------15,
403,135,0,0,0,15,------0,0,0.0,------15,
406,136,0,0,0,15,------0,0,0.0,------15,
409,137,0,0,0,15,------0,0,0.0,------15,
412,138,0,0,0,15,------0,0,0.0,------15,
415,139,0,0,0,15,------0,0,0.0,------15,
418,140,0,0,0,15,------0,0,0.0,------15,
421,141,0,1,0,15,------0,0,0.0,------15,
424,142,0,1,0,15,------0,0,0.0,------15,
427,143,0,1,0,15,------0,0,0.0,------15,
430,144,0,1,0,15,------0,0,0.0,------15,
433,145,0,1,0,15,------0,0,0.0,------15,
436,146,0,1,0,15,------0,0,0.0,------15,
439,147,0,0,0,15,------0,0,0.0,------15,
