L0A19-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
1,1,0,1,0,1,------5,9,0.56,------1,
4,2,0,1,4,2,------9,25,0.36,------2,
7,3,0,1,12,3,------21,49,0.43,------3,
10,4,0,1,8,4,------29,81,0.36,------4,
13,5,0,1,12,5,------41,121,0.34,------5,
16,6,1,1,12,6,------53,169,0.31,------6,
19,7,1,1,36,7,------89,225,0.4,------7,
22,8,1,1,28,8,------117,289,0.4,------8,
25,9,1,0,32,9,------85,169,0.5,------9,
28,10,1,1,4,10,------89,225,0.4,------10,
31,11,1,1,12,11,------101,289,0.35,------11,
34,12,1,0,36,12,------65,225,0.29,------12,
37,13,0,0,24,13,------41,81,0.51,------13,
40,14,0,0,16,14,------25,49,0.51,------14,
43,15,0,0,12,15,------13,25,0.52,------15,
46,16,0,0,8,15,------5,9,0.56,------1,
49,17,0,0,4,16,------1,1,1.0,------16,
52,18,0,0,1,17,------0,0,0.0,------17,
55,19,0,0,0,17,------0,0,0.0,------17,
58,20,0,0,0,17,------0,0,0.0,------17,
61,21,0,0,0,17,------0,0,0.0,------17,
