L1A1-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
2,1,0,1,0,1,------0,0,0.0,------1,
5,2,0,1,0,1,------0,0,0.0,------1,
8,3,0,1,0,1,------0,0,0.0,------1,
11,4,0,1,0,1,------0,0,0.0,------1,
14,5,0,1,0,1,------0,0,0.0,------1,
17,6,1,1,32,2,------32,32,1.0,------2,
20,7,0,0,20,3,------12,12,1.0,------3,
23,8,0,0,12,3,------0,0,0.0,------1,
26,9,1,1,28,4,------28,32,0.88,------4,
29,10,1,1,0,4,------28,32,0.88,------4,
32,11,0,0,28,4,------0,0,0.0,------1,
35,12,0,0,0,4,------0,0,0.0,------1,
38,13,0,1,0,4,------0,0,0.0,------1,
41,14,0,1,0,4,------0,0,0.0,------1,
44,15,0,1,0,4,------0,0,0.0,------1,
47,16,0,1,0,4,------0,0,0.0,------1,
50,17,0,1,0,4,------0,0,0.0,------1,
53,18,0,1,0,4,------0,0,0.0,------1,
56,19,0,1,0,4,------0,0,0.0,------1,
59,20,0,1,0,4,------0,0,0.0,------1,
